R,P,region,rbm_cycles,baseline_cycles,cycle_speedup,cycle_saved,rbm_time_s,baseline_time_s,time_speedup,time_saved_s,max_abs_energy_diff
2,3,mature lower,18,85,4.722222222222222,67,1.5,16.3,10.866666666666667,14.8,1.4113710200547303e-13
2,4,mature lower,16,85,5.3125,69,1.4,15.799999999999999,11.285714285714286,14.399999999999999,1.5490386751082497e-13
2,5,mature lower,18,85,4.722222222222222,67,1.54,15.2,9.870129870129869,13.66,1.7641443861293737e-13
2,6,mature lower,18,85,4.722222222222222,67,1.52,16.099999999999998,10.592105263157894,14.579999999999998,2.0275447987216921e-13
2,7,mature lower,17,85,5.0,68,1.45,15.2,10.482758620689655,13.75,1.3733458814613186e-13
2,8,mature lower,17,85,5.0,68,1.45,16.2,11.172413793103448,14.75,1.9662049766111522e-13
2,9,mature lower,18,85,4.722222222222222,67,1.49,15.6,10.46979865771812,14.11,1.2234657731369225e-13
2,10,mature lower,17,85,5.0,68,1.45,16.9,11.655172413793103,15.45,1.0247358517290195e-13
2,11,mature lower,19,85,4.473684210526316,66,1.5699999999999998,16.3,10.382165605095542,14.73,1.2242984404053914e-13
2,12,mature lower,19,85,4.473684210526316,66,1.5899999999999999,15.399999999999999,9.685534591194969,13.809999999999999,1.1438072711200675e-13
2,13,mature lower,18,85,4.722222222222222,67,1.51,16.099999999999998,10.662251655629138,14.589999999999998,2.4447111002245947e-13
2,14,mature lower,16,85,5.3125,69,1.38,16.9,12.246376811594203,15.52,1.872946242542639e-13
2,15,mature lower,17,85,5.0,68,1.45,17.2,11.862068965517242,15.75,1.6797674362578618e-13
2,16,mature lower,18,85,4.722222222222222,67,1.54,16.7,10.844155844155843,15.16,1.6733836538662672e-13
2,17,mature lower,19,85,4.473684210526316,66,1.5699999999999998,16.099999999999998,10.254777070063694,14.529999999999998,1.3031242751537775e-13
2,18,mature lower,17,85,5.0,68,1.42,15.399999999999999,10.84507042253521,13.979999999999999,1.68365321684405e-13
2,19,mature lower,16,85,5.3125,69,1.4,16.2,11.571428571428571,14.799999999999999,1.8840484727888906e-13
2,20,mature lower,17,85,5.0,68,1.45,15.6,10.758620689655173,14.15,1.8146595337498184e-13
2,21,mature lower,17,85,5.0,68,1.47,16.0,10.884353741496598,14.53,1.8554602299047929e-13
2,22,mature lower,17,85,5.0,68,1.47,15.7,10.680272108843537,14.229999999999999,1.3461454173580023e-13
2,23,mature lower,18,85,4.722222222222222,67,1.53,15.899999999999999,10.392156862745097,14.37,1.509070646221744e-13
2,24,mature lower,17,85,5.0,68,1.47,16.099999999999998,10.95238095238095,14.629999999999997,2.3639423751831146e-13
2,25,mature lower,17,85,5.0,68,1.42,16.2,11.408450704225352,14.78,1.7361112547575885e-13
2,26,mature lower,18,85,4.722222222222222,67,1.52,15.799999999999999,10.394736842105262,14.28,1.9301227283108346e-13
2,27,mature lower,17,85,5.0,68,1.47,16.3,11.088435374149661,14.83,2.2418178424743473e-13
2,28,mature lower,17,85,5.0,68,1.45,15.799999999999999,10.89655172413793,14.35,1.5190626534433704e-13
2,29,mature lower,17,85,5.0,68,1.45,15.5,10.689655172413794,14.05,1.6919798895287386e-13
2,30,mature lower,18,85,4.722222222222222,67,1.52,17.0,11.18421052631579,15.48,1.3417045252595017e-13
2,31,mature lower,18,85,4.722222222222222,67,1.49,16.5,11.073825503355705,15.01,1.3461454173580023e-13
2,32,mature lower,17,85,5.0,68,1.43,16.8,11.74825174825175,15.370000000000001,2.485234240623413e-13
2,33,mature lower,18,85,4.722222222222222,67,1.52,16.0,10.526315789473685,14.48,1.927624726505428e-13
2,34,mature lower,19,85,4.473684210526316,66,1.5899999999999999,15.799999999999999,9.937106918238994,14.209999999999999,1.1707301794672276e-13
2,35,mature lower,19,85,4.473684210526316,66,1.6099999999999999,16.8,10.434782608695654,15.190000000000001,1.5482060078397808e-13
